City,State,Geo.ID,Flood Instances,Flood Injuries Direct,Flood Injuries Indirect,Total Flood Injuries,Flood Deaths Direct,Flood Deaths Indirect,Total Flood Deaths0,Flood Damage,Heat Instances,Heat Injuries Direct,Heat Injuries Indirect,Total Heat Injuries,Heat Deaths Direct,Heat Deaths Indirect,Total Heat Deaths,Heat Damage,Cold Instances,Cold Injuries Direct,Cold Injuries Indirect,Total Cold Injuries,Cold Deaths Direct,Cold Deaths Indirect,Total Cold Deaths,Cold Damage,Coastal Flood Instances,Coastal Flood Injuries Direct,Coastal Flood Injuries Indirect,Total Coastal Flood Injuries,Coastal Flood Deaths Direct,Coastal Flood Deaths Indirect,Total Coastal Flood Deaths,Coastal Flood Damage
Tucson,AZ,1600000US0477000,40,1,0,1,1,0,1,1093969,9,15,0,15,6,0,6,0,4,1,1,2,2,0,2,115453,0,0,0,0,0,0,0,0
Tulsa,OK,1600000US4075000,44,0,0,0,1,0,1,65000,31,357,0,357,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vallejo,CA,1600000US0681666,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vancouver,WA,1600000US5374060,3,0,0,0,0,0,0,2235616,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victorville,CA,1600000US0682590,13,0,0,0,0,0,0,5346790,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0
Virginia Beach,VA,1600000US5182000,32,0,0,0,0,0,0,3021699,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,574000
Visalia,CA,1600000US0682954,3,0,0,0,0,0,0,1938385,4,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waco,TX,1600000US4876000,20,0,5,5,3,0,3,200333,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,MI,1600000US2684000,1,0,0,0,0,0,0,0,5,6,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Washington, D.C.",DC,1600000US1150000,29,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
Waterbury,CT,1600000US0980000,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Covina,CA,1600000US0684200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Jordan,UT,1600000US4982950,1,0,0,0,0,0,0,24418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Palm Beach,FL,1600000US1276600,5,0,0,0,1,0,1,82558,1,0,0,0,0,1,1,0,8,0,0,0,0,0,0,4172,4,0,0,0,0,0,0,0
West Valley City ,UT,1600000US4983470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Westminster,CO,1600000US0883835,2,0,0,0,0,0,0,1821689,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wichita,KS,1600000US2079000,55,0,0,0,0,0,0,920552,14,0,0,0,1,0,1,0,4,0,4,4,0,0,0,2431,0,0,0,0,0,0,0,0
Wichita Falls,TX,1600000US4879000,5,0,0,0,0,0,0,42353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington,DE,1600000US1077580,9,1,0,1,0,0,0,251679,23,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,64217
Wilmington,NC,1600000US3774440,55,0,0,0,0,0,0,2664714,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Winston-Salem,NC,1600000US3775000,10,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worcester,MA,1600000US2582000,9,0,0,0,0,0,0,352367,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yonkers,NY,1600000US3684000,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
